Designator,Mid X,Mid Y,Rotation,Layer
C101,30.2258,21.0822,180.0,top
C102,30.861,27.813,135.0,top
C103,50.673,21.59,315.0,top
C104,39.497,15.748,135.0,top
C105,43.18,37.846,45.0,top
C106,52.197,29.591,315.0,top
C107,48.133,19.05,315.0,top
C108,51.816,22.606,225.0,top
C109,52.578,21.844,225.0,top
C110,53.213,24.003,45.0,top
C111,53.975,23.241,45.0,top
C112,46.355,17.272,315.0,top
C113,49.276,20.193,315.0,top
C114,59.581051,16.745949,45.0,top
C115,55.988949,20.338051,225.0,top
C116,45.212,37.973,45.0,top
C117,30.48,30.099,135.0,top
C118,55.260408,12.434331,225.0,top
C119,57.415669,14.589592,45.0,top
C301,61.2138,38.6082,270.0,top
C401,25.7808,13.4622,90.0,top
C402,25.7808,18.0342,270.0,top
C501,22.2248,8.1282,90.0,top
C502,18.7958,8.6362,0.0,top
C503,6.6038,18.2882,180.0,top
C504,17.61342,6.3502,180.0,bottom
C505,7.78618,15.4942,0.0,bottom
D101,2.5398,45.9742,0.0,top
D102,2.5398,47.7522,0.0,top
D103,2.5398,49.5302,0.0,top
D104,2.5398,51.3082,0.0,top
D105,10.9218,34.0362,90.0,top
D106,14.4778,8.6362,270.0,top
D401,2.5398,30.0992,180.0,top
D501,2.7938,24.3842,270.0,top
J101,14.605,36.83,0.0,top
J102,18.796,50.8,90.0,top
J103,19.685,36.83,0.0,top
J104,18.796,45.72,90.0,top
J105,25.4,7.62,90.0,top
J106,27.94,2.54,90.0,top
J107,40.64,45.72,90.0,top
J108,48.26,7.62,90.0,top
J109,45.72,50.8,90.0,top
J110,50.8,2.54,90.0,top
J111,65.5953,20.3837,90.0,top
J112,10.795,7.62,270.0,top
J201,3.683,38.1,270.0,top
L101,56.6418,26.6702,0.0,top
L501,8.1278,24.3842,90.0,top
R101,55.4988,24.7652,270.0,top
R102,37.084,17.526,225.0,top
R103,5.0798,45.9742,0.0,top
R104,5.0798,47.7522,0.0,top
R105,5.0798,49.5302,0.0,top
R106,5.0798,51.3082,0.0,top
R201,10.363,40.31,270.0,top
R202,10.363,36.881,90.0,top
R203,28.9558,31.6232,45.0,top
R401,5.0798,30.0992,180.0,top
U101,41.91,26.67,135.0,top
U301,56.464,37.2112,180.0,top
U401,30.4798,15.7482,90.0,top
U501,20.3198,12.7002,0.0,top
Y101,57.785,18.542,225.0,top
Y102,54.991,14.859,45.0,top
